Raw_ID,ID,CPP_ID,PPP_ID,MS_ID,USZ_ID,Tissue,Batch,Date,Year,Month,Day
GUOT_PC1_170206_CPP459_SW,PPPB1,CPP459,PPP192,PC1,G_2009.0285,T,17,170206,17,2,6
GUOT_PC3_170217_CPP212_SW,PPPB2,CPP212,PPP214,PC3,G_2009.0465,T,8,170217,17,2,17
GUOT_PC2_170208_CPP112_SW,PPPB3,CPP112,PPP100,PC2,G_2008.0573,T,5,170208,17,2,8
GUOT_PC3_170213_CPP517B_SW,PPPB4,CPP517B,PPP444,PC3,G_2011.0447,T,19,170213,17,2,13
GUOT_170801_PC6_CPP536_SW,PPPB5,CPP536,PPP470,PC6,G_2011.0675,T,21,170801,17,8,1
GUOT_PC2_170201_CPP273_SW,PPPB6,CPP273,PPP270,PC2,G_2009.0817,T,10,170201,17,2,1
GUOT_PC2_170213_CPP93_SW,PPPB7,CPP93,PPP83,PC2,G_2008.0424,N,4,170213,17,2,13
GUOT_PC6_170727_CPP579_SW,PPPB8,CPP579,RP502,PC6,G_2011.0938,T,23,170727,17,7,27
GUOT_PC3_170217_CPP207_SW,PPPB9,CPP207,PPP207,PC3,G_2009.0439,N,8,170217,17,2,17
GUOT_PC2_170203_CPP374_SW,PPPB10,CPP374,PPP357,PC2,G_2010.0623,N,14,170203,17,2,3
GUOT_PC5_170729_CPP681_SW,PPPB11,CPP681,PPP559,PC5,G_2012.0212,N,30,170729,17,7,29
GUOT_PC1_170131_CPP243_SW,PPPB12,CPP243,PPP245,PC1,G_2009.0689,N,9,170131,17,1,31
GUOT_PC4_170716_CPP559_SW,PPPB13,CPP559,PPP488,PC4,G_2011.0802,T,22,170716,17,7,16
GUOT_PC4_170130_CPP313_SW,PPPB14,CPP313,RP303,PC4,G_2010.0176,N,12,170130,17,1,30
GUOT_PC4_170714_CPP671_SW,PPPB15,CPP671,RP550,PC4,G_2012.0130,T,29,170714,17,7,14
GUOT_PC3_170215_CPP380_SW,PPPB16,CPP380,PPP362,PC3,G_2010.0655,T,14,170215,17,2,15
GUOT_PC1_170131_CPP230_SW,PPPB17,CPP230,PPP233,PC1,G_2009.0599,N,9,170131,17,1,31
GUOT_PC3_170202_CPP294_SW,PPPB18,CPP294,PPP287,PC3,G_2010.0112,N,11,170202,17,2,2
GUOT_PC4_170224_CPP182_SW,PPPB19,CPP182,PPP186,PC4,G_2009.0266,T,7,170224,17,2,24
GUOT_PC1_170215_CPP408_SW,PPPB20,CPP408,PPP387,PC1,G_2011.0023,N,15,170215,17,2,15
GUOT_PC4_170130_CPP316_SW,PPPB21,CPP316,PPP306,PC4,G_2010.0182,T,12,170130,17,1,30
GUOT_170801_PC6_CPP547_SW,PPPB22,CPP547,PPP479,PC6,G_2011.0725,N,21,170801,17,8,1
GUOT_PC1_170208_CPP54_SW,PPPB23,CPP54,CTRL2B,PC1,NA,C,3,170208,17,2,8
GUOT_PC1_170127_CPP14_SW,PPPB24,CPP14,PPP15,PC1,G_2007.0764,N,1,170127,17,1,27
GUOT_PC1_170125_CPP6_SW,PPPB25,CPP6,PPP5,PC1,G_2007.0674,N,1,170125,17,1,25
GUOT_PC4_170223_CPP249_SW,PPPB26,CPP249,PPP250,PC4,G_2009.0703,T,9,170223,17,2,23
GUOT_PC2_170215_CPP285_SW,PPPB27,CPP285,PPP280,PC2,G_2010.0043,T,11,170215,17,2,15
GUOT_PC4_170227_CPP470_SW,PPPB28,CPP470,PPP404,PC4,G_2011.0221,T,18,170227,17,2,27
GUOT_PC1_170727_CPP518_SW,PPPB29,CPP518,CTRL7B,PC1,NA,C,20,170727,17,7,27
GUOT_PC3_170220_CPP346_SW,PPPB30,CPP346,PPP332,PC3,G_2010.0399,T,13,170220,17,2,20
GUOT_PC4_170227_CPP487_SW,PPPB31,CPP487,PPP418,PC4,G_2011.0321,T,18,170227,17,2,27
GUOT_PC2_170203_CPP370_SW,PPPB32,CPP370,PPP353,PC2,G_2010.0613,N,14,170203,17,2,3
GUOT_PC4_170130_CPP329_SW,PPPB33,CPP329,PPP318,PC4,G_2010.0275,T,12,170130,17,1,30
GUOT_PC4_170224_CPP171_SW,PPPB34,CPP171,PPP176,PC4,G_2009.0184,T,7,170224,17,2,24
GUOT_PC3_170130_CPP166_SW,PPPB35,CPP166,CTRL4,PC3,NA,C,7,170130,17,1,30
GUOT_PC4_170224_CPP183_SW,PPPB36,CPP183,RP186,PC4,G_2009.0266,T,7,170224,17,2,24
GUOT_PC2_170220_CPP321B_SW,PPPB37,CPP321B,PPP311,PC2,G_2010.0250,N,12,170220,17,2,20
GUOT_PC4_170715_CPP533_SW,PPPB38,CPP533,PPP468,PC4,G_2011.0660,T,20,170715,17,7,15
GUOT_PC5_170802_CPP704,PPPB39,CPP704,PPP578,PC5,G_2012.0412,T,31,170802,17,8,2
GUOT_PC3_170125_CPP61_SW,PPPB40,CPP61,PPP56,PC3,G_2008.0253,T,3,170125,17,1,25
GUOT_PC4_170127_CPP209_SW,PPPB41,CPP209,PPP211,PC4,G_2009.0462,N,8,170127,17,1,27
GUOT_PC1_170213_CPP416_SW,PPPB42,CPP416,PPP50,PC1,G_2008.0191,T,16,170213,17,2,13
GUOT_PC3_170220_CPP356_SW,PPPB43,CPP356,PPP341,PC3,G_2010.0473,N,13,170220,17,2,20
GUOT_PC1_170217_CPP267_SW,PPPB44,CPP267,PPP264,PC1,G_2009.0812,T,10,170217,17,2,17
GUOT_PC3_170213_CPP47_SW,PPPB45,CPP47,PPP43,PC3,G_2008.0158,N,2,170213,17,2,13
GUOT_PC2_170206_CPP486_SW,PPPB46,CPP486,PPP417,PC2,G_2011.0321,N,18,170206,17,2,6
GUOT_PC1_170208_CPP76_SW,PPPB47,CPP76,PPP70,PC1,G_2008.0321,T,3,170208,17,2,8
GUOT_PC1_170217_CPP266_SW,PPPB48,CPP266,RP263,PC1,G_2009.0812,N,10,170217,17,2,17
GUOT_PC1_170213_CPP424_SW,PPPB49,CPP424,PPP134,PC1,G_2008.0861,T,16,170213,17,2,13
GUOT_PC1_170215_CPP390_SW,PPPB50,CPP390,PPP371,PC1,G_2010.0719,N,15,170215,17,2,15
GUOT_PC5_170726_PCPOOL25_SW,PPPB51,PCPOOL25,PC15AQUA,PC5,NA,A,22,170726,17,7,26
GUOT_170731_PC6_CPP647_SW,PPPB52,CPP647,PPP531,PC6,G_2012.0015,N,28,170731,17,7,31
GUOT_PC4_170716_CPP552_SW,PPPB53,CPP552,PPP482,PC4,G_2011.0758,T,22,170716,17,7,16
GUOT_PC1_170131_CPP236_SW,PPPB54,CPP236,PPP238,PC1,G_2009.0654,T,9,170131,17,1,31
GUOT_PC1_170215_CPP394_SW,PPPB55,CPP394,PPP374,PC1,G_2010.0757,T,15,170215,17,2,15
GUOT_PC2_170217_CPP440_SW,PPPB56,CPP440,PPP158,PC2,G_2009.0099,T,17,170217,17,2,17
GUOT_PC4_170301_CPP507_SW,PPPB57,CPP507,PPP435,PC4,G_2011.0416,N,19,170301,17,3,1
GUOT_PC2_170203_CPP371_SW,PPPB58,CPP371,PPP354,PC2,G_2010.0613,T,14,170203,17,2,3
GUOT_PC4_170127_CPP215_SW,PPPB59,CPP215,RP216,PC4,G_2009.0470,T,8,170127,17,1,27
GUOT_170801_PC6_CPP540_SW,PPPB60,CPP540,RP473,PC6,G_2011.0716,N,21,170801,17,8,1
GUOT_170728_PC1_CPP586_SW,PPPB61,CPP586,PPP510,PC1,G_2011.1024,T,24,170728,17,7,28
GUOT_PC4_170224_CPP178_SW,PPPB62,CPP178,PPP182,PC4,G_2009.0205,T,7,170224,17,2,24
GUOT_170730_PC6_CPP697_SW,PPPB63,CPP697,RP572,PC6,G_2012.0371,T,31,170730,17,7,30
GUOT_PC4_170715_CPP531_SW,PPPB64,CPP531,PPP466,PC4,G_2011.0621,T,20,170715,17,7,15
GUOT_170803_PC6_CPP683_SW,PPPB65,CPP683,PPP561,PC6,G_2012.0223,N,30,170803,17,8,3
GUOT_PC1_170206_CPP462_SW,PPPB66,CPP462,PPP195,PC1,G_2009.0329,N,17,170206,17,2,6
GUOT_PC1_170213_CPP422_SW,PPPB67,CPP422,PPP130,PC1,G_2008.0850,T,16,170213,17,2,13
GUOT_PC4_170712_PCPOOL28_SW,PPPB68,PCPOOL28,PC15AQUA,PC4,NA,A,25,170712,17,7,12
GUOT_PC4_170224_CPP176_SW,PPPB69,CPP176,PPP180,PC4,G_2009.0195,T,7,170224,17,2,24
GUOT_PC1_170125_CPP9_SW,PPPB70,CPP9,PPP8,PC1,G_2007.0676,T,1,170125,17,1,25
GUOT_PC2_170215_CPP297_SW,PPPB71,CPP297,PPP290,PC2,G_2010.0125,T,11,170215,17,2,15
GUOT_PC1_170208_CPP69_SW,PPPB72,CPP69,PPP63,PC1,G_2008.0287,N,3,170208,17,2,8
GUOT_PC3_170125_CPP62_SW,PPPB73,CPP62,PPP57,PC3,G_2008.0263,N,3,170125,17,1,25
GUOT_PC5_170730_CPP568_SW,PPPB74,CPP568,PPP494,PC5,G_2011.0848,T,23,170730,17,7,30
GUOT_PC2_170220_CPP326_SW,PPPB75,CPP326,RP315,PC2,G_2010.0269,N,12,170220,17,2,20
